,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
0,Am I Racist?,"Streaming Oct 28, 2024",positive,71%,positive,96%
1,Secrets of a Wallaby Boy,"Streaming Oct 28, 2024",,,,
2,Joker: Folie à Deux,"Streaming Oct 29, 2024",negative,32%,negative,32%
3,Piece By Piece,"Streaming Oct 29, 2024",positive,84%,positive,90%
4,The Critic,"Streaming Oct 29, 2024",negative,49%,positive,70%
5,Unnatural,"Streaming Oct 29, 2024",,,,
6,Citizen Weiner,"Streaming Oct 29, 2024",positive,80%,,
7,Amityville: Where the Echo Lives,"Streaming Oct 29, 2024",,,,
8,Olivia Rodrigo: GUTS World Tour,"Streaming Oct 29, 2024",,,,
9,Tom Papa: Home Free,"Streaming Oct 29, 2024",,,,
10,The American Question,"Streaming Oct 29, 2024",,,,
11,The Falling Star,"Streaming Oct 29, 2024",negative,30%,,
12,Time Cut,"Streaming Oct 30, 2024",negative,21%,negative,38%
13,Martha,"Streaming Oct 30, 2024",positive,93%,,
14,The Substance,"Streaming Oct 31, 2024",positive,90%,positive,74%
15,Apocalypse Z: The Beginning of the End,"Streaming Oct 31, 2024",,,positive,69%
16,Beautiful Friend,"Streaming Oct 31, 2024",,,,
17,Megan Thee Stallion: In Her Words,"Streaming Oct 31, 2024",,,,
18,Cellar Door,"Streaming Nov 1, 2024",negative,20%,,
19,Levels,"Streaming Nov 1, 2024",,,,
20,Aftermath,"Streaming Nov 1, 2024",,,,
21,Let Go,"Streaming Nov 1, 2024",,,,
22,The Gutter,"Streaming Nov 1, 2024",positive,63%,,
23,Music by John Williams,"Streaming Nov 1, 2024",positive,100%,,
24,72 Hours,"Streaming Nov 1, 2024",,,,
25,Portraits,"Streaming Nov 1, 2024",,,,
26,Libre,"Streaming Nov 1, 2024",,,,
27,Doc of Chucky,"Streaming Nov 1, 2024",,,,
28,Don Q,"Streaming Nov 1, 2024",,,,
29,It's All Over: The Kiss That Changed Spanish Football,"Streaming Nov 1, 2024",,,,
30,Don Q,"Streaming Nov 1, 2024",,,,
31,It's All Over: The Kiss That Changed Spanish Football,"Streaming Nov 1, 2024",,,,
32,Stealing Jokes,"Streaming Nov 1, 2024",,,,
33,Porch Pirates,"Streaming Nov 1, 2024",,,,
34,Glowzies,"Streaming Nov 1, 2024",,,,
35,Big Rage,"Streaming Nov 1, 2024",,,,
36,Christmas on the Ranch,"Streaming Nov 1, 2024",,,,
37,"Extraction, USA","Streaming Nov 1, 2024",,,,
38,Endurance,"Streaming Nov 2, 2024",,,,
39,Don't Move,"Streaming Oct 25, 2024",positive,69%,negative,39%
40,Woman of the Hour,"Streaming Oct 18, 2024",positive,91%,positive,68%
41,The Wild Robot,"Streaming Oct 15, 2024",positive,98%,positive,98%
42,Trap,"Streaming Aug 30, 2024",negative,57%,positive,65%
43,Strange Darling,"Streaming Oct 1, 2024",positive,95%,positive,85%
44,Caddo Lake,"Streaming Oct 10, 2024",positive,76%,positive,80%
45,Transformers One,"Streaming Oct 22, 2024",positive,89%,positive,98%
46,Longlegs,"Streaming Aug 23, 2024",positive,86%,positive,61%
47,Late Night with the Devil,"Streaming Apr 19, 2024",positive,97%,positive,81%
48,Speak No Evil,"Streaming Oct 1, 2024",positive,83%,positive,84%
49,Beetlejuice Beetlejuice,"Streaming Oct 8, 2024",positive,77%,positive,79%
50,Alien: Romulus,"Streaming Oct 15, 2024",positive,80%,positive,85%
51,Smile,"Streaming Nov 15, 2022",positive,79%,positive,77%
52,Venom,"Streaming Jun 18, 2019",negative,30%,positive,80%
53,It's What's Inside,"Streaming Oct 4, 2024",positive,78%,positive,69%
54,Oddity,"Streaming Aug 20, 2024",positive,96%,positive,78%
55,Deadpool & Wolverine,"Streaming Oct 1, 2024",positive,78%,positive,94%
56,Canary Black,"Streaming Oct 24, 2024",,,negative,28%
57,Terrifier,"Streaming Mar 27, 2018",positive,62%,negative,53%
58,The Remarkable Life of Ibelin,"Streaming Oct 25, 2024",positive,98%,positive,98%
59,MaXXXine,"Streaming Aug 2, 2024",positive,72%,positive,77%
60,Brothers,"Streaming Oct 17, 2024",negative,41%,negative,45%
61,The Shadow Strays,"Streaming Oct 17, 2024",positive,90%,positive,79%
62,Blink Twice,"Streaming Sep 17, 2024",positive,74%,positive,70%
63,John Wick,"Streaming Jun 7, 2016",positive,86%,positive,81%
64,It Ends With Us,"Streaming Sep 24, 2024",negative,57%,positive,90%
65,Salem's Lot,"Streaming Oct 3, 2024",negative,45%,negative,39%
66,Rebel Ridge,"Streaming Sep 6, 2024",positive,95%,positive,73%
67,Family Pack,"Streaming Oct 23, 2024",,,negative,35%
68,MadS,"Streaming Oct 18, 2024",positive,93%,positive,78%
69,Pearl,"Streaming Oct 25, 2022",positive,93%,positive,83%
70,Outside,"Streaming Oct 17, 2024",,,positive,60%
71,Hijack '93,"Streaming Oct 25, 2024",,,,
72,Wolfs,"Streaming Sep 27, 2024",positive,67%,negative,51%
73,Azrael,"Streaming Oct 25, 2024",positive,73%,positive,63%
74,Lonely Planet,"Streaming Oct 11, 2024",negative,39%,negative,38%
75,A Quiet Place: Day One,"Streaming Jul 30, 2024",positive,87%,positive,73%
76,The Babadook,"Streaming Nov 5, 2015",positive,98%,positive,72%
77,Immaculate,"Streaming Apr 16, 2024",positive,71%,positive,60%
78,Hit Man,"Streaming Jun 7, 2024",positive,95%,positive,92%
79,X,"Streaming Apr 14, 2022",positive,94%,positive,76%
80,I Saw the TV Glow,"Streaming Jun 14, 2024",positive,84%,positive,71%
81,Monkey Man,"Streaming Apr 23, 2024",positive,89%,positive,83%
82,Daddio,"Streaming Jul 30, 2024",positive,76%,positive,88%
83,The Beast Within,"Streaming Aug 13, 2024",negative,40%,negative,52%
84,Talk to Me,"Streaming Sep 12, 2023",positive,94%,positive,82%
85,Reagan,"Streaming Oct 15, 2024",negative,18%,positive,98%
86,Cuckoo,"Streaming Sep 17, 2024",positive,78%,positive,60%
87,Halloween,"Streaming Mar 18, 2017",positive,96%,positive,89%
88,Twisters,"Streaming Aug 13, 2024",positive,75%,positive,91%
89,New Life,"Streaming May 3, 2024",positive,94%,positive,64%
90,365 Days,"Streaming Jun 7, 2020",negative,0%,negative,31%
91,Civil War,"Streaming May 24, 2024",positive,81%,positive,70%
92,Hereditary,"Streaming Aug 21, 2018",positive,90%,positive,71%
93,His House,"Streaming Oct 30, 2020",positive,100%,positive,73%
94,The Watchers,"Streaming Jun 28, 2024",negative,32%,negative,52%
95,Carved,"Streaming Oct 21, 2024",,,negative,33%
96,From Straight A's to XXX,"Streaming Oct 7, 2017",,,negative,57%
97,Let the Right One In,"Streaming Jan 14, 2017",positive,98%,positive,90%
98,Borderlands,"Streaming Aug 30, 2024",negative,10%,negative,51%
99,Beetlejuice,"Streaming Aug 15, 2008",positive,83%,positive,82%
100,The First Omen,"Streaming May 28, 2024",positive,83%,positive,70%
101,Joker,"Streaming Oct 3, 2019",positive,68%,positive,89%
102,Infinite,"Streaming Jun 10, 2021",negative,17%,negative,34%
103,Sinister,"Streaming Nov 21, 2015",positive,63%,positive,62%
104,Challengers,"Streaming May 17, 2024",positive,88%,positive,74%
105,Five Nights at Freddy's,"Streaming Oct 27, 2023",negative,32%,positive,86%
106,Barbarian,"Streaming Oct 25, 2022",positive,92%,positive,71%
107,Tim Burton's The Nightmare Before Christmas,"Streaming Jan 1, 2014",positive,95%,positive,92%
108,Halloween,"Streaming Dec 28, 2018",positive,79%,positive,72%
109,Trick 'r Treat,"Streaming Jul 24, 2014",positive,82%,positive,72%
110,Get Out,"Streaming May 9, 2017",positive,98%,positive,86%
111,A Man Called Otto,"Streaming Feb 28, 2023",positive,70%,positive,97%
112,Godzilla Minus One,"Streaming Jun 1, 2024",positive,99%,positive,98%
113,Coraline,"Streaming Feb 12, 2014",positive,91%,positive,74%
114,Hocus Pocus,"Streaming Jan 1, 2014",negative,41%,positive,72%
115,Hellboy: The Crooked Man,"Streaming Oct 8, 2024",negative,38%,negative,58%
116,"Thank You, Dr. Fauci","Streaming Oct 24, 2024",,,,
117,Apartment 7A,"Streaming Sep 27, 2024",negative,41%,positive,70%
118,The Deliverance,"Streaming Aug 30, 2024",negative,34%,negative,41%
119,The Fall Guy,"Streaming May 21, 2024",positive,81%,positive,85%
120,Subservience,"Streaming Sep 13, 2024",negative,46%,positive,60%
121,When Evil Lurks,"Streaming Oct 27, 2023",positive,96%,positive,79%
122,Justice,"Streaming Oct 16, 2024",,,,
123,The Batman,"Streaming Apr 19, 2022",positive,85%,positive,87%
124,Infested,"Streaming Apr 26, 2024",positive,95%,positive,63%
125,The Conjuring,"Streaming Oct 8, 2013",positive,86%,positive,83%
126,Scream,"Streaming Apr 21, 2016",positive,77%,positive,80%
127,The Bikeriders,"Streaming Jul 9, 2024",positive,80%,positive,75%
128,Daddy's Head,"Streaming Oct 11, 2024",positive,87%,positive,62%
129,Inside Out 2,"Streaming Aug 20, 2024",positive,90%,positive,95%
130,Will & Harper,"Streaming Sep 27, 2024",positive,99%,positive,82%
131,Abigail,"Streaming May 7, 2024",positive,83%,positive,84%
132,It Follows,"Streaming Nov 30, 2016",positive,95%,positive,66%
133,Killer Heat,"Streaming Sep 26, 2024",negative,19%,negative,31%
134,Hold Your Breath,"Streaming Oct 3, 2024",negative,41%,negative,48%
135,Never Let Go,"Streaming Oct 11, 2024",negative,56%,negative,53%
136,Gladiator,"Streaming Jun 15, 2011",positive,79%,positive,87%
137,It,"Streaming Dec 19, 2017",positive,85%,positive,84%
138,Interstellar,"Streaming May 24, 2016",positive,73%,positive,86%
139,Don't Turn Out the Lights,"Streaming Sep 6, 2024",,,negative,40%
140,Unhinged,"Streaming Aug 21, 2020",negative,49%,positive,77%
141,Mr. Crocket,"Streaming Oct 11, 2024",positive,67%,positive,60%
142,The Witch,"Streaming May 17, 2016",positive,91%,positive,60%
143,Thanksgiving,"Streaming Dec 19, 2023",positive,84%,positive,79%
144,Tim Burton's Corpse Bride,"Streaming Jul 21, 2008",positive,84%,positive,77%
145,The Autopsy of Jane Doe,"Streaming May 2, 2017",positive,86%,positive,71%
146,Evil Dead Rise,"Streaming May 9, 2023",positive,85%,positive,76%
147,The Crow,"Streaming Sep 13, 2024",negative,22%,positive,63%
148,Kinds of Kindness,"Streaming Aug 27, 2024",positive,72%,negative,48%
149,Tarot,"Streaming May 28, 2024",negative,17%,negative,58%
150,Scream VI,"Streaming Apr 25, 2023",positive,77%,positive,91%
151,Practical Magic,"Streaming Sep 1, 2009",negative,26%,positive,73%
152,In a Violent Nature,"Streaming Jun 28, 2024",positive,78%,negative,45%
153,The Platform 2,"Streaming Oct 4, 2024",negative,33%,negative,26%
154,Scary Movie,"Streaming Jan 20, 2016",negative,51%,negative,43%
155,Fly Me to the Moon,"Streaming Aug 13, 2024",positive,65%,positive,90%
156,Doctor Sleep,"Streaming Nov 7, 2019",positive,78%,positive,89%
157,Uglies,"Streaming Sep 13, 2024",negative,15%,negative,43%
158,The Wailing,"Streaming Sep 6, 2016",positive,99%,positive,81%
159,Ghostbusters: Frozen Empire,"Streaming May 7, 2024",negative,42%,positive,82%
160,Madame Web,"Streaming Mar 15, 2024",negative,11%,negative,56%
161,A Quiet Place,"Streaming Jun 26, 2018",positive,96%,positive,83%
162,Anyone But You,"Streaming Feb 20, 2024",negative,54%,positive,87%
163,Girl Haunts Boy,"Streaming Oct 10, 2024",positive,90%,positive,83%
164,His Three Daughters,"Streaming Sep 20, 2024",positive,98%,positive,85%
165,The Ministry of Ungentlemanly Warfare,"Streaming May 10, 2024",positive,68%,positive,93%
166,Bad Boys: Ride or Die,"Streaming Jul 23, 2024",positive,65%,positive,97%
167,Stream,"Streaming Oct 15, 2024",positive,93%,positive,93%
168,Fifty Shades of Grey,"Streaming Jan 5, 2016",negative,25%,negative,41%
169,Ready or Not,"Streaming Aug 27, 2019",positive,89%,positive,78%
170,Halloween Ends,"Streaming Oct 14, 2022",negative,40%,negative,57%
171,Harold and the Purple Crayon,"Streaming Aug 27, 2024",negative,27%,positive,91%
172,Midsommar,"Streaming Sep 24, 2019",positive,83%,positive,63%
173,IF,"Streaming Jun 18, 2024",negative,50%,positive,87%
174,The Endless,"Streaming Jun 26, 2018",positive,91%,positive,68%
175,Furiosa: A Mad Max Saga,"Streaming Jun 25, 2024",positive,90%,positive,89%
176,Despicable Me 4,"Streaming Aug 6, 2024",negative,56%,positive,87%
177,The Beekeeper,"Streaming Jan 30, 2024",positive,71%,positive,92%
178,Sing: Thriller,"Streaming Oct 16, 2024",,,,
179,A Serbian Film,"Streaming Jan 18, 2021",negative,47%,negative,43%
180,A Nightmare on Elm Street,"Streaming Jul 24, 2014",positive,94%,positive,84%
181,Leave the World Behind,"Streaming Dec 8, 2023",positive,74%,negative,35%
182,Hocus Pocus 2,"Streaming Sep 30, 2022",positive,65%,negative,47%
183,V/H/S/Beyond,"Streaming Oct 4, 2024",positive,89%,negative,58%
184,The Menu,"Streaming Jan 3, 2023",positive,88%,positive,76%
185,XX,"Streaming Feb 17, 2017",positive,69%,negative,20%
186,Janet Planet,"Streaming Jul 30, 2024",positive,85%,negative,45%
187,Coco,"Streaming Feb 13, 2018",positive,97%,positive,94%
188,Nope,"Streaming Nov 18, 2022",positive,83%,positive,69%
189,Hubie Halloween,"Streaming Oct 7, 2020",negative,52%,negative,48%
190,It: Chapter Two,"Streaming Sep 7, 2019",positive,62%,positive,78%
191,Dune: Part Two,"Streaming Apr 16, 2024",positive,92%,positive,95%
192,Sweet Bobby: My Catfish Nightmare,"Streaming Oct 16, 2024",,,,
193,Sting,"Streaming May 14, 2024",positive,70%,positive,63%
194,The Exorcist,"Streaming Jul 24, 2014",positive,78%,positive,87%
195,The Cabin in the Woods,"Streaming May 6, 2014",positive,92%,positive,74%
196,Stopmotion,"Streaming Mar 15, 2024",positive,91%,negative,50%
197,The Lincoln Lawyer,"Streaming Dec 19, 2015",positive,83%,positive,82%
198,Spider-Man: No Way Home,"Streaming Mar 15, 2022",positive,93%,positive,98%
199,Saw X,"Streaming Oct 20, 2023",positive,81%,positive,88%
200,The Devil's Bath,"Streaming Jun 28, 2024",positive,90%,positive,60%
201,Bone Tomahawk,"Streaming Mar 11, 2017",positive,91%,positive,74%
202,Thelma,"Streaming Jul 19, 2024",positive,98%,positive,83%
203,The Shining,"Streaming Aug 15, 2008",positive,83%,positive,93%
204,"As Above, So Below","Streaming Nov 18, 2014",negative,29%,negative,41%
205,Avengers: Endgame,"Streaming Jul 30, 2019",positive,94%,positive,90%
206,The Texas Chain Saw Massacre,"Streaming Dec 30, 2014",positive,84%,positive,82%
207,Fresh,"Streaming Mar 4, 2022",positive,82%,positive,81%
208,Poor Things,"Streaming Feb 27, 2024",positive,93%,positive,79%
209,Insidious,"Streaming Jun 3, 2015",positive,66%,positive,62%
210,Oppenheimer,"Streaming Nov 21, 2023",positive,93%,positive,91%
211,Kiki's Delivery Service,"Streaming Dec 10, 2019",positive,98%,positive,89%
212,Missing,"Streaming Mar 7, 2023",positive,89%,positive,90%
213,Marvel's the Avengers,"Streaming Jun 22, 2014",positive,91%,positive,91%
214,Kung Fu Panda 4,"Streaming Apr 9, 2024",positive,71%,positive,86%
215,The Killer,"Streaming Nov 10, 2023",positive,85%,positive,61%
216,Host,"Streaming Jul 30, 2020",positive,99%,positive,71%
217,Halloween Kills,"Streaming Oct 15, 2021",negative,39%,positive,66%
218,The Holdovers,"Streaming Nov 28, 2023",positive,97%,positive,92%
219,The Thing,"Streaming Jun 15, 2012",positive,85%,positive,92%
220,Horizon: An American Saga - Chapter 1,"Streaming Jul 16, 2024",negative,51%,positive,70%
221,The Union,"Streaming Aug 16, 2024",negative,37%,negative,23%
222,Bram Stoker's Dracula,"Streaming Jul 1, 2013",positive,69%,positive,79%
223,Totally Killer,"Streaming Oct 6, 2023",positive,87%,positive,77%
224,Out of Darkness,"Streaming Feb 27, 2024",positive,85%,negative,55%
225,The Visit,"Streaming May 17, 2016",positive,68%,negative,52%
226,American Psycho,"Streaming Jan 13, 2015",positive,68%,positive,85%
227,Land of Bad,"Streaming Mar 19, 2024",positive,67%,positive,94%
228,Pixels,"Streaming May 23, 2016",negative,18%,negative,46%
229,Sleep,"Streaming Sep 27, 2024",positive,95%,positive,76%
230,The Boy and the Heron,"Streaming Jun 25, 2024",positive,97%,positive,88%
231,Haunted Mansion,"Streaming Oct 4, 2023",negative,38%,positive,84%
232,Scary Stories to Tell in the Dark,"Streaming Aug 27, 2019",positive,78%,positive,72%
233,Haunt,"Streaming Sep 13, 2019",positive,71%,positive,100%
234,The Instigators,"Streaming Aug 9, 2024",negative,40%,negative,54%
235,The Menendez Brothers,"Streaming Oct 7, 2024",,,positive,79%
236,Plane,"Streaming Feb 2, 2023",positive,79%,positive,94%
237,The Ritual,"Streaming Feb 9, 2018",positive,74%,positive,63%
238,Miller's Girl,"Streaming Feb 16, 2024",negative,29%,negative,43%
239,Us,"Streaming Jun 4, 2019",positive,93%,positive,61%
240,Dirty Grandpa,"Streaming Apr 26, 2016",negative,10%,negative,44%
241,Parasite,"Streaming Oct 11, 2019",positive,99%,positive,90%
242,The Marvels,"Streaming Jan 16, 2024",positive,62%,positive,81%
243,Don't Worry Darling,"Streaming Oct 25, 2022",negative,38%,positive,74%
244,Hillbilly Elegy,"Streaming Nov 24, 2020",negative,25%,positive,81%
245,L.A. Confidential,"Streaming Dec 12, 2015",positive,99%,positive,94%
246,Saw,"Streaming Oct 28, 2014",negative,50%,positive,84%
247,Slingshot,"Streaming Sep 17, 2024",negative,38%,positive,65%
248,Under the Shadow,"Streaming Jan 17, 2017",positive,99%,positive,71%
249,Killers of the Flower Moon,"Streaming Dec 5, 2023",positive,93%,positive,84%
250,Dark Waters,"Streaming Nov 22, 2019",positive,89%,positive,95%
251,The Whale,"Streaming Feb 21, 2023",positive,64%,positive,91%
252,The Silence of the Lambs,"Streaming Aug 27, 2015",positive,95%,positive,95%
253,Arcadian,"Streaming Apr 30, 2024",positive,78%,negative,56%
254,Malignant,"Streaming Sep 10, 2021",positive,77%,negative,52%
255,The Infiltrator,"Streaming Oct 11, 2016",positive,72%,positive,71%
256,The Dark Knight,"Streaming Jun 14, 2010",positive,94%,positive,94%
257,Zodiac,"Streaming Aug 1, 2013",positive,90%,positive,77%
258,All Hallows' Eve,"Streaming Dec 16, 2014",,,negative,35%
259,After,"Streaming Jun 25, 2019",negative,18%,positive,65%
260,It Comes at Night,"Streaming Jul 10, 2017",positive,87%,negative,44%
261,The Idea of You,"Streaming May 2, 2024",positive,81%,positive,66%
262,Classified,"Streaming Oct 22, 2024",,,,
263,In the Land of Saints and Sinners,"Streaming Apr 16, 2024",positive,83%,positive,74%
264,The Purge,"Streaming Sep 24, 2013",negative,41%,negative,36%
265,The Lighthouse,"Streaming Oct 18, 2019",positive,90%,positive,72%
266,The Innocents,"Streaming May 13, 2022",positive,97%,positive,73%
267,Exhuma,"Streaming Jun 4, 2024",positive,95%,positive,87%
268,The Nun,"Streaming Nov 20, 2018",negative,24%,negative,35%
269,Sleepy Hollow,"Streaming Aug 1, 2013",positive,70%,positive,80%
270,Uprising,"Streaming Oct 11, 2024",,,positive,81%
271,Kingdom of the Planet of the Apes,"Streaming Jul 9, 2024",positive,80%,positive,77%
272,The Dark and the Wicked,"Streaming Nov 6, 2020",positive,90%,positive,62%
273,"LaRoy, Texas","Streaming Apr 12, 2024",positive,100%,positive,66%
274,A Quiet Place Part II,"Streaming Jul 13, 2021",positive,91%,positive,92%
275,Scream 2,"Streaming Apr 21, 2016",positive,81%,negative,58%
276,Sex and the Future,"Streaming Mar 17, 2020",,,negative,38%
277,Things Will Be Different,"Streaming Oct 4, 2024",positive,81%,,
278,Eternal Sunshine of the Spotless Mind,"Streaming Feb 12, 2014",positive,92%,positive,94%
279,M3GAN,"Streaming Jan 24, 2023",positive,93%,positive,78%
280,The Pope's Exorcist,"Streaming May 2, 2023",negative,51%,positive,80%
281,Transformers: Rise of the Beasts,"Streaming Jul 11, 2023",negative,51%,positive,91%
282,Salem's Lot,"Streaming Sep 20, 2016",positive,89%,positive,65%
283,Dìdi,"Streaming Sep 3, 2024",positive,96%,positive,92%
284,Lisa Frankenstein,"Streaming Feb 27, 2024",negative,52%,positive,81%
285,Van Helsing,"Streaming Apr 19, 2016",negative,24%,negative,57%
286,The Silent Hour,"Streaming Oct 11, 2024",positive,63%,,
287,Hell House LLC,"Streaming Nov 28, 2016",positive,70%,positive,72%
288,The Invisible Man,"Streaming Mar 20, 2020",positive,91%,positive,88%
289,The Platform,"Streaming Mar 21, 2020",positive,81%,positive,73%
290,Spider-Man: Across the Spider-Verse,"Streaming Aug 8, 2023",positive,95%,positive,94%
291,Train to Busan,"Streaming Dec 6, 2016",positive,95%,positive,89%
292,The Sixth Sense,"Streaming Jul 8, 2016",positive,86%,positive,90%
293,1 Million Followers,"Streaming Oct 25, 2024",,,,
294,House of Spoils,"Streaming Oct 3, 2024",negative,44%,negative,49%
295,The Rocky Horror Picture Show,"Streaming Nov 25, 2015",positive,80%,positive,85%
296,Ghostlight,"Streaming Jul 30, 2024",positive,99%,positive,92%
297,No One Will Save You,"Streaming Sep 22, 2023",positive,83%,negative,56%
298,Cabrini,"Streaming May 27, 2024",positive,90%,positive,98%
299,Infinity Pool,"Streaming Feb 14, 2023",positive,87%,negative,52%
300,Guardians of the Galaxy Vol. 3,"Streaming Jul 7, 2023",positive,82%,positive,94%
301,Love Lies Bleeding,"Streaming Apr 26, 2024",positive,94%,positive,82%
302,1992,"Streaming Sep 17, 2024",positive,64%,positive,88%
303,The Addams Family,"Streaming Aug 1, 2013",positive,67%,positive,67%
304,John Wick: Chapter 4,"Streaming May 23, 2023",positive,94%,positive,93%
305,Alien,"Streaming Nov 2, 2014",positive,93%,positive,94%
306,The Godfather,"Streaming Aug 1, 2013",positive,97%,positive,98%
307,What We Do in the Shadows,"Streaming Mar 8, 2016",positive,96%,positive,87%
308,The Invitation,"Streaming Aug 10, 2016",positive,89%,positive,69%
309,Jennifer's Body,"Streaming Jul 21, 2013",negative,46%,negative,35%
310,The Gentlemen,"Streaming Mar 24, 2020",positive,75%,positive,84%
311,Red Rooms,"Streaming Oct 4, 2024",positive,96%,positive,81%
312,Prey,"Streaming Aug 5, 2022",positive,94%,positive,74%
313,Abandoned,"Streaming Jun 24, 2022",negative,17%,negative,17%
314,Fantastic Beasts: The Secrets of Dumbledore,"Streaming May 30, 2022",negative,46%,positive,83%
315,You'll Never Find Me,"Streaming Mar 22, 2024",positive,81%,positive,64%
316,Napoleon,"Streaming Jan 9, 2024",negative,58%,negative,58%
317,Border,"Streaming Feb 22, 2019",positive,97%,positive,76%
318,Psycho,"Streaming Feb 12, 2014",positive,97%,positive,95%
319,Everything Everywhere All at Once,"Streaming Jun 7, 2022",positive,94%,positive,79%
320,The Shawshank Redemption,"Streaming Aug 15, 2008",positive,89%,positive,98%
321,Halloween II,"Streaming Oct 19, 2015",negative,34%,positive,63%
322,Speak No Evil,"Streaming Sep 15, 2022",positive,84%,negative,57%
323,Alone,"Streaming Sep 18, 2020",positive,93%,negative,54%
324,The Park Maniac,"Streaming Oct 18, 2024",,,,
325,No Time to Die,"Streaming Nov 9, 2021",positive,83%,positive,88%
326,Signs,"Streaming Aug 11, 2016",positive,75%,positive,67%
327,Till Death,"Streaming Jul 2, 2021",positive,90%,negative,54%
328,Spaceman,"Streaming Mar 1, 2024",negative,50%,positive,65%
329,Original Sin,"Streaming Sep 16, 2008",negative,12%,positive,61%
330,Sound of Freedom,"Streaming Oct 13, 2023",negative,57%,positive,99%
331,A Family Affair,"Streaming Jun 28, 2024",negative,36%,negative,30%
332,Brothers,"Streaming Dec 23, 2011",positive,63%,positive,62%
333,Dream Scenario,"Streaming Dec 22, 2023",positive,91%,positive,68%
334,Tuesday,"Streaming Jul 16, 2024",positive,76%,negative,50%
335,Shutter Island,"Streaming Aug 1, 2013",positive,69%,positive,77%
336,Young Frankenstein,"Streaming Jun 1, 2017",positive,95%,positive,92%
337,Dungeons & Dragons: Honor Among Thieves,"Streaming May 2, 2023",positive,91%,positive,93%
338,Deep Water,"Streaming Mar 18, 2022",negative,35%,negative,25%
339,Halloween,"Streaming May 17, 2017",negative,28%,negative,59%
340,Creep,"Streaming Jul 14, 2015",positive,91%,positive,66%
341,The Super Mario Bros. Movie,"Streaming May 16, 2023",negative,59%,positive,95%
342,Paddington 2,"Streaming Mar 6, 2018",positive,99%,positive,88%
343,Grave of the Fireflies,"Streaming Mar 11, 2017",positive,100%,positive,95%
344,Shaun of the Dead,"Streaming Jul 23, 2013",positive,92%,positive,93%
345,LOL,"Streaming Mar 4, 2014",negative,14%,negative,50%
346,The Strangers: Chapter 1,"Streaming Jun 7, 2024",negative,21%,negative,44%
347,Friday the 13th,"Streaming Jan 1, 2011",positive,66%,positive,60%
348,The Rental,"Streaming Jul 24, 2020",positive,73%,negative,47%
349,Spirited Away,"Streaming Dec 19, 2019",positive,96%,positive,96%
350,Gifted,"Streaming Jul 9, 2017",positive,73%,positive,85%
351,Past Lives,"Streaming Aug 22, 2023",positive,95%,positive,93%
352,Nefarious,"Streaming Jun 2, 2023",negative,35%,positive,96%
353,One Life,"Streaming Apr 9, 2024",positive,90%,positive,94%
354,The Last Voyage of the Demeter,"Streaming Aug 29, 2023",negative,50%,positive,75%
355,Imaginary,"Streaming Mar 26, 2024",negative,24%,negative,54%
356,Saltburn,"Streaming Dec 22, 2023",positive,71%,positive,79%
357,Rosemary's Baby,"Streaming Aug 1, 2013",positive,97%,positive,87%
358,Aftersun,"Streaming Dec 20, 2022",positive,95%,positive,81%
359,The Hunger Games: The Ballad of Songbirds & Snakes,"Streaming Dec 19, 2023",positive,64%,positive,89%
360,Halloweentown,"Streaming Jan 12, 2017",positive,83%,positive,72%
361,White Chicks,"Streaming May 1, 2012",negative,15%,negative,55%
362,The Peanut Butter Falcon,"Streaming Aug 27, 2019",positive,95%,positive,96%
363,My Penguin Friend,"Streaming Oct 1, 2024",positive,85%,positive,97%
364,Adam Sandler's Eight Crazy Nights,"Streaming Jan 9, 2014",negative,13%,negative,50%
365,Prey for the Devil,"Streaming Dec 13, 2022",negative,15%,positive,69%
366,Tangerine,"Streaming Nov 10, 2016",positive,96%,positive,76%
367,10 Cloverfield Lane,"Streaming May 31, 2016",positive,91%,positive,79%
368,The Nun II,"Streaming Oct 3, 2023",negative,51%,positive,73%
369,The Blair Witch Project,"Streaming Dec 15, 2015",positive,86%,negative,57%
370,Emily the Criminal,"Streaming Oct 28, 2022",positive,94%,positive,79%
371,Anatomy of a Fall,"Streaming Dec 22, 2023",positive,96%,positive,90%
372,One Cut of the Dead,"Streaming Dec 8, 2019",positive,100%,positive,85%
373,Die Alone,"Streaming Oct 18, 2024",positive,70%,,
374,Gerald's Game,"Streaming Sep 29, 2017",positive,91%,positive,70%
375,Bullet Train,"Streaming Dec 3, 2022",negative,53%,positive,76%
376,Godzilla x Kong: The New Empire,"Streaming May 14, 2024",negative,54%,positive,90%
377,Misery,"Streaming Nov 25, 2016",positive,91%,positive,90%
378,Drag Me to Hell,"Streaming Feb 12, 2014",positive,92%,positive,62%
379,Jigsaw,"Streaming Jan 9, 2018",negative,32%,positive,88%
380,Babylon,"Streaming Jan 31, 2023",negative,57%,negative,52%
381,Scream 4,"Streaming Apr 1, 2017",positive,60%,negative,57%
382,Don't Breathe,"Streaming Nov 29, 2016",positive,88%,positive,79%
383,Scary Movie 2,"Streaming Aug 2, 2016",negative,13%,negative,52%
384,The Empty Man,"Streaming Jan 10, 2021",positive,76%,positive,61%
385,The Notebook,"Streaming Mar 18, 2013",negative,54%,positive,85%
386,Eternals,"Streaming Jan 12, 2022",negative,47%,positive,77%
387,28 Days Later,"Streaming May 10, 2014",positive,87%,positive,85%
