Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Steve McQueen,"Floor Onrust,Steve McQueen,Anna Smith Tenser,Bianca Stigter",Bianca Stigter,A24,"September Film Distribution,Lammas Park,Family Affair Films,Regency Enterprises,Film4,A24",PG-13 (Smoking|Sexual Material|Brief Drug Use|Strong Language|Thematic Material),"Documentary,History,War",English,"Dec 25, 2023, Limited","Feb 23, 2024",4h 0m,Dolby Digital,Occupied City,,,,
Liang Qiao,,Liying Song,,,,"Drama,Romance",Chinese,,"Nov 18, 2020",1h 40m,,Puppy Love,,,,
Herbert James Winterstern,"Nathan Klingher,Ryan Donnell Smith,Ryan Winterstern","Herbert James Winterstern,Anna Elizabeth James",Saban Films,"Volition Media Partners,Short Porch Pictures,Thomasville Pictures,Buffalo 8 Productions,Bay Point Media,Streamline Global Group",PG-13 (Some Peril|Smoking|Language),"Adventure,Mystery & Thriller",English,"Mar 17, 2023, Limited","Mar 17, 2023",1h 40m,,Supercell,,,,
Unknown Director,,,,,,Documentary,English,,"Oct 12, 2022",1h 18m,,The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,,,,
Ian Samuels,"Ashley Fox,Akiva Goldsman,Gregory Lessans,Aaron Ryder",Lev Grossman,,"FilmNation Entertainment,Weed Road Pictures",PG-13 (Brief Strong Language|Some Teen Drinking|Sexual References),"Romance,Comedy,Fantasy,Drama",English,,"Feb 12, 2021",1h 39m,,The Map of Tiny Perfect Things,,,,
Jennifer Reeder,Steven Hudosh,Jennifer Reeder,,,,"Comedy,Drama,Musical",English,,,28m,,A Million Miles Away,,,,
Jose G. Ramos,Jose G. Ramos,,Vimeo,,,Drama,English,"Feb 6, 2016, Original",,1h 30m,,Lights Out,,,,
Bruce Wemple,,Anna Shields,,"377 Films,Traverse Terror",,"Horror,Mystery & Thriller",English,,"Aug 11, 2020",1h 26m,,Monstrous,,,,
John Carl Buechler,,,,"Empire Pictures,Altar Productions",PG-13,"Fantasy,Comedy,Horror",English,"Jan 17, 1986, Limited","Sep 16, 2008",1h 26m,Surround,Troll,$4.5M,,,
Edwin L. Marin,Joan Harrison,Jonathan Latimer,RKO Radio Pictures,RKO Radio Pictures Inc.,,"Crime,Drama",English,"Nov 11, 1946, Original","Sep 1, 2009",1h 28m,,Nocturne,,,,
Sydney Macartney,"Gerry Gregg,Alan Moloney,Tim Palmer",Deirdre Dowling,The Cinema Guild,"BBC,Raidio Teilifis Eireann,Parallel Film Productions Ltd.",,Drama,English,"May 14, 1999, Original",,1h 38m,Stereo,"Love, Divided",,,,
Kornél Mundruczó,"Ashley Levinson,Aaron Ryder,Kevin Turen",Kata Wéber,Netflix,"BRON Studios,Little Lamb,Creative Wealth Media Finance",R (Language|Graphic Nudity|Brief Drug Use|Sexual Content),Drama,English,"Dec 30, 2020, Limited","Jan 7, 2021",2h 6m,,Pieces of a Woman,,Flat (1.85:1),,
Ned Benson,"Michael London,Shannon Gaulding,Stephanie Davis,Cassandra Kulukundis,Ned Benson",Ned Benson,Searchlight Pictures,"Far Hills Pictures,Searchlight Pictures,Groundswell Productions",PG-13 (Drug Use|Suggestive Material|Strong Language),"Drama,Romance,Comedy,Musical",English,"Apr 5, 2024, Limited","Apr 12, 2024",1h 34m,,The Greatest Hits,,,,
Gabriel Bier Gislason,Thomas Heinesen,"Gabriel Bier Gislason,Gabriel Bier Gislason",,Nordisk Film,,"Drama,Mystery & Thriller,Horror,Comedy,Romance,LGBTQ+",Danish,,"Feb 9, 2023",1h 45m,,Attachment,,,,
George Tillman Jr.,David Zelon,"Frank Baldwin,George Tillman Jr.,Dan Gordon",Columbia Pictures,"State Street Pictures,Affirm Films,Sony Pictures Entertainment (SPE),Mandalay Pictures",PG-13 (Some Sports Violence),"Biography,Drama,Sports",English,"Apr 28, 2023, Wide","May 16, 2023",2h 9m,Dolby Digital,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,$5.3M,,,
Walt Becker,"Jordan Kerner,Iole Lucchese","Jay Scherick,David Ronn,Blaise Hemingway",Paramount Pictures,"Scholastic Entertainment Inc.,Paramount Pictures,New Republic Pictures,eOne,Kerner Entertainment",PG (Mild Action|Impolite Humor|Thematic Elements),"Kids & Family,Comedy,Adventure",English,"Nov 10, 2021, Wide","Nov 10, 2021",1h 37m,Dolby Digital,Clifford the Big Red Dog,$48.9M,,,
François Dupeyron,René Cleitman,François Dupeyron,,,,Horror,English,,,1h 36m,,The Machine,,,,
Jack Piandaryan,,,,,R (Some Drug Use|Brief Violence|Sexuality|Language),Drama,English,,"Apr 6, 2017",1h 30m,,Parallel,,,,
Seth Barrish,,,Netflix,,,"Comedy,Musical,Stand-Up",English,,"Oct 15, 2024",1h 17m,,"Rachel Bloom: Death, Let Me Do My Special",,,,
Gordon Shoemaker Foxwood,"Patrick Robert Young,Powell Robinson",Gordon Shoemaker Foxwood,Gravitas Ventures,"Big Bad Film,New Mythology Productions",,"Fantasy,Horror,Drama,Mystery & Thriller",English,"Jun 11, 2024, Limited","Jun 11, 2024",1h 39m,,Wild Eyed and Wicked,,,,
Tim Kirkby,"Brad Feinstein,Andrew Lazar,Steven Shainberg,Christina Weiss Lurie",Howard Michael Gould,RLJE Films,"Romulus Entertainment,Head Gear Films,Metrol Technology,MadRiver International,Waldo Film Productions",R,"Action,Comedy",English,"Feb 4, 2022, Limited","Feb 4, 2022",1h 51m,,Last Looks,,Scope (2.35:1),,
William Eubank,"Jason Blum,Oren Peli",Christopher Landon,,"Room 101 Inc.,Paramount Players,Solana Films,Blumhouse Productions",R (Violence and Bloody Images|Language Throughout),"Horror,Mystery & Thriller",English,,"Oct 29, 2021",1h 38m,Dolby Digital,Paranormal Activity: Next of Kin,,Scope (2.35:1),,
Yuzuru Tachikawa,,"Shinichi Ishizuka,NUMBER 8",GKIDS,NUT,,"Drama,Music,Anime",Japanese,"Oct 8, 2023, Limited","Apr 30, 2024",2h 0m,,Blue Giant,,,,
Adam Robitel,Neal H. Moritz,"Will Honley,Maria Melnik,Daniel Tuch,Oren Uziel","Columbia Pictures,Sony Pictures Entertainment","Moonlighting Films,Columbia Pictures,Shaken Not Stirred,Original Film",PG-13 (Terror/Peril|Strong Language|Violence),"Horror,Mystery & Thriller",English,"Jul 16, 2021, Wide","Sep 20, 2021",1h 28m,Dolby Atmos,Escape Room: Tournament of Champions,$25.2M,Scope (2.35:1),,
,,,,,,Drama,English,,,,,Marry Me,,,,
Bruno Bigoni,,,,,,"Comedy,Drama",Italian,,,1h 30m,,Poison,,,,
"Riley Keough,Gina Gammell","Ryan Zacarias,Sacha Ben Harroche,Gina Gammell,Riley Keough","Riley Keough,Gina Gammell,Bill Reddy,Franklin Sioux Bob",Momentum Pictures,"Kaleidoscope Entertainment,Doco Digital,Protagonist Pictures",R (Some Violence|Pervasive Language|Drug and Alcohol Use),Drama,English,"Jul 28, 2023, Limited","Jul 28, 2023",1h 55m,,War Pony,,,,
Mike Figgis,"Debra Greenfield,Alan Greisman","Eric Roth,Michael Cristofer",,Rastar Productions,R,Romance,English,,"Jul 27, 2010",1h 52m,Surround,Mr. Jones,$8.0M,,,
James Cullen Bressack,"Jessica Bennett,James Cullen Bressack,Jarrett Furst,Andre Relis","Alethea Cho,James Cullen Bressack",Saban Films,"VMI Worldwide,JCB Pictures,Sandaled Kid Productions,Robotic Donut",R (Some Sexual References|Language Throughout|Drug Content|Strong Violence),"Action,Mystery & Thriller",English,,"May 21, 2024",1h 48m,,Darkness of Man,,Digital 2.39:1,,
Stephen Gaghan,"Joe Roth,Jeff Kirschenbaum,Susan Downey","Stephen Gaghan,Dan Gregor,Doug Mand",Universal Pictures,"Perfect World Pictures,Universal Pictures,Team Downey",PG (Rude Humor|Brief Language|Some Action),"Kids & Family,Fantasy,Adventure,Comedy",English,"Jan 17, 2020, Wide","Mar 24, 2020",1h 40m,,Dolittle,$77.0M,Flat (1.85:1),,
Maciek Hamela,"Piotr Grawender,Maciek Hamela",Maciek Hamela,Film Movement,"Polski Instytut Sztuki Filmowej,SaNoSi Productions,Affinity Cine,Impakt Film,Pemplum,435 Films",,"Documentary,War",Polish,,"Aug 16, 2024",1h 25m,,In the Rearview,,,,
Julia Verdin,"Halil Sevis,Julia Verdin","Julia Verdin,Janet Odogwu",,Rough Diamond Productions,,"Drama,Mystery & Thriller",English,,"Apr 15, 2019",24m,,Lost Girls,,,,
Augustine Frizzell,"Graham Broadbent,Peter Czernin,Stephen Traynor,Simone Urdl,Jennifer Weiss","Esta Spalding,Nick Payne",,"Blueprint Pictures,The Film Farm",,"Drama,Romance",English,,"Jul 23, 2021",1h 50m,,The Last Letter From Your Lover,,,,
Taylor Sheridan,"Steven Zaillian,Garrett Basch,Aaron L. Gilbert,Kevin Turen,Taylor Sheridan","Michael Koryta,Charles Leavitt,Taylor Sheridan",Warner Bros. Pictures,"New Line Cinema,BRON Studios,Film Rites,Creative Wealth Media Finance",R (Strong Violence|Language Throughout),"Action,Mystery & Thriller",English,"May 14, 2021, Wide","May 14, 2021",1h 40m,Dolby Digital,Those Who Wish Me Dead,$7.3M,Scope (2.35:1),,
Marçal Forés,"Adrián Guerra,Núria Valls",Ariana Godoy,,"Netflix,Nostromo Pictures",,"Romance,Comedy",European Spanish,,"Feb 4, 2022",1h 30m,,Through My Window,,,,
Clark Duke,"Clark Duke,Patrick Hibler,Martin Sprock,Jeff Rice",Andrew Boonkrong,,"Don Kee Productions,Buffalo 8 Productions,Jeff Rice Films,StoryBoard Media",R (Language Throughout|Drug Material|Brief Nudity|Violence),"Mystery & Thriller,Crime,Drama,Comedy",English,,"May 5, 2020",1h 55m,,Arkansas,,,,
Ann Turner,"David Parker,Tatiana Kennedy",Ann Turner,,Film Victoria,R (Brief Sexuality|Some Violent Content|Language),"Drama,Mystery & Thriller",English,,"Dec 1, 2018",1h 43m,,Irresistible,,,,
Bob Keller,,Ken Hebert,,,R,Horror,English,,,1h 37m,,Sick,,,,
Alberto Belli,,"Jed Elinoff,Scott Thomas",Disney+,"Rotten Eggs Productions,Disney Branded Television,NeoReel,Disney+",,"Holiday,Adventure,Comedy,Kids & Family",English,,"Nov 23, 2023",1h 30m,,The Naughty Nine,,,,
Kelly Reichardt,"Neil Kopp,Vincent Savino,Anish Savjani","Jonathan Raymond,Kelly Reichardt",A24,Film Science,PG-13 (Brief Strong Language),"Western,Drama",English,"Mar 6, 2020, Limited","Jul 10, 2020",2h 2m,,First Cow,$161.0K,,,
Scott Ziehl,Joel Silver,"Ben Queen,Seamus Ruane",,,R,Mystery & Thriller,English,,"Dec 20, 2016",1h 26m,,Proximity,,,,
Lawrence Michael Levine,"Jonathan Blitstein,Richard J. Bosner,Julie Christeas,Marina Grasic,Jai Khanna,Lawrence Michael Levine,Aubrey Plaza,Sophia Takal",Lawrence Michael Levine,Momentum Pictures,"Productivity Media,Tandem Pictures,Oakhurst Entertainment,Blue Creek Pictures",R (Sexual Content|Language Throughout|Drug Use|Some Nudity),Drama,English,"Dec 4, 2020, Limited","Dec 4, 2020",1h 44m,,Black Bear,,,,
Reginald Hudlin,"Ron Howard,Brian Grazer,Eddie Murphy,Karen Lunder,Charisse M. Hewitt",Kelly Younger,Amazon Studios,"Amazon MGM Studios,Imagine Entertainment",PG (Some Suggestive References|Language Throughout),"Holiday,Comedy,Fantasy",English,"Nov 24, 2023, Limited","Dec 1, 2023",1h 48m,,Candy Cane Lane,,Digital 2.39:1,,
"Rick Jordan,Richard Cooper",,,,Iceman Productions,,"Crime,Drama",English,,,1h 30m,,Heist 88,,,,
Theodore Melfi,"Theodore Melfi,Kimberly Quinn,Dylan Sellers,Chris Parker",Matt Harris,Netflix,"Goldenlight Films,Boies / Schiller Film Group,Entertainment One,Culmination Productions,Limelight",PG-13 (Some Strong Language|Thematic Material|Suggestive Material),Drama,English,"Sep 17, 2021, Limited","Sep 24, 2021",1h 44m,,The Starling,,Scope (2.35:1),,
Clay Tarver,"Timothy M. Bourne,Todd Garner","Tom Mullen,Tim Mullen,Clay Tarver,John Francis Daley,Jonathan M. Goldstein,Tom Mullen,Tim Mullen,Clay Tarver",,"20th Century Studios,Broken Road Productions",R (Language Throughout|Drug Content|Crude Sexual References),"Comedy,Adventure",English,,"Aug 27, 2021",1h 43m,Dolby Digital,Vacation Friends,,,,
Juan Daniel Zavaleta,"Juan Daniel Zavaleta,Suzanna Zavaleta",Juan Daniel Zavaleta,,Wineskins Entertainment,,"Biography,Crime,Drama",English,,"May 22, 2017",1h 36m,,Glorious,,,,
"Hannah Barlow,Kane Senes","Lisa Shaunessy,John De Margheriti,Jason Taylor,Bec Janek","Hannah Barlow,Kane Senes,Hannah Barlow,Kane Senes",,"Arcadia,DEMS Entertainment,Dog Park Pictures",,"Horror,Comedy",Australian English,,"Sep 29, 2022",1h 42m,Dolby Digital,Sissy,,Scope (2.35:1),,
Benoît Jacquot,Phillippe Carcassonne,Benoît Jacquot,,,,Drama,French (France),,"Jan 20, 2017",1h 19m,,Disenchanted,$5.1K,,,
Jérémie Périn,"Didier Creste,Gaëlle Bayssière","Laurent Sarfati,Jérémie Périn",GKIDS,"Plume Finance,France 3 Cinéma,Shine Conseils,Je Suis Bien Content,Amopix,Everybody On Deck,Gebeka Films,Ev.L Prod ",,"Sci-Fi,Animation,Mystery & Thriller",French,"May 3, 2024, Limited","Jun 18, 2024",1h 28m,,Mars Express,,,,
Andy Fickman,"Adam Beasley,Andy Fickman,Sarah Halley Finn,Arianne Fraser,Michael Jefferson,Petr Jákl,Willie Kutner,Ryan Donnell Smith,Betsy Sullenger","Taylor Jenkins Reid,Alex J. Reid",The Avenue,"Studio 507,Volition Media Partners,Gosdom Entertainment,Buffalo 8 Productions,Tetrad Studios",PG-13,"Romance,Comedy,Drama",English,"Apr 7, 2023, Limited","Apr 14, 2023",1h 40m,,One True Loves,,,,
Sophie Barthes,"Nadia Khamlichi,Genevieve Lemal,Martin Metz,Yann Zenou",Sophie Barthes,Vertical / Roadside Attractions,"Quad,Scope Pictures",PG-13 (Suggestive Material|Partial Nudity|Brief Strong Language),"Romance,Comedy,Sci-Fi",English,"Aug 11, 2023, Limited","Aug 29, 2023",1h 49m,,The Pod Generation,,,,
Bruce Robinson,Paul M. Heller,Bruce Robinson,,Cineplex-Odeon Films,R,Comedy,English,,"Oct 15, 2020",1h 42m,Stereo,Withnail and I,,,,
Hamish Hamilton,,,Apple TV+,,,"Holiday,Music",English,,"Nov 22, 2023",44m,,Hannah Waddingham: Home for Christmas,,,,
Jonathan Hensleigh,"David Buelow,Al Corley,Lee Nelson,Shivani Rawat,Bart Rosenblatt,David Tish",Jonathan Hensleigh,,"ShivHans Pictures,Code Entertainment,Envision Media Arts,Aperture Media Partners,Solution Entertainment Group",PG-13 (Strong Language|Sequences of Action & Violence),"Action,Mystery & Thriller",English,,"Jun 25, 2021",1h 49m,Dolby Digital,The Ice Road,,Scope (2.35:1),,
John Logan,"Jason Blum,Michael Aguilar",John Logan,,Blumhouse Productions,,"Horror,Mystery & Thriller,LGBTQ+",English,,"Aug 5, 2022",1h 41m,,They/Them,,,,
Jeff Baena,"Jeff Baena,Alison Brie,Mel Eslyn,Dylan Sellers,Chris Parker","Jeff Baena,Alison Brie",IFC Films,"Duplass Brothers Productions,Limelight",,"Romance,Comedy",English,"Aug 19, 2022, Limited","Aug 19, 2022",1h 44m,,Spin Me Round,,,,
James Croke,"Jordan Gertner,Scott Clayton,Wych Kaosayananda,Gary A. Hirsch,Barry Brooker",James Croke,Lionsgate,"Grindstone Entertainment Group,Kaos Entertainment",PG-13 (Some Violent Content|Terror|Strong Language),"Sci-Fi,Mystery & Thriller",English,"Jun 14, 2024, Limited","Jul 9, 2024",1h 34m,,Latency,,,,
Catherine Hardwicke,"Amanda Sthers,Toni Collette,Christopher Simon","J. Michael Feldman,Debbie Jhoon",Bleecker Street,"Lipsync,Edver Films,Vocab Films,Cornerstone Films,New Sparta Films,Cattleya,Idea(L),Ingenious Media",R (Language|Bloody Violence|Sexual Content),"Comedy,Action",English,"Apr 14, 2023, Wide","May 2, 2023",1h 41m,,Mafia Mamma,$2.0M,Flat (1.85:1),,
Leigh Jason,Isadore Goldsmith,"Walter Bullock,Vera Caspary,Edward Eliscu",,Bryan Foy Productions,,Comedy,English,,"May 24, 2018",1h 24m,,Out of the Blue,,,,
Hayley Easton Street,Julie Baines,Cat Clarke,Samuel Goldwyn Films,StudioCanal,R (Some Violence|Language Throughout|Bloody Images),Mystery & Thriller,English,"May 3, 2024, Limited","May 3, 2024",1h 26m,,Something in the Water,,,,
Clay Kaytis,"Michael Barnathan,Chris Columbus,David Guggenheim,Adam Kolbrenner,Mark Radcliffe",Matt Lieberman,,"Cinesite Animation,1492 Pictures,Ocean Blue Entertainment,Madhouse Entertainment",TV-PG,"Kids & Family,Holiday,Comedy,Fantasy,Adventure",English,,"Nov 22, 2018",1h 44m,,The Christmas Chronicles 2,,,,
Pablo Larraín,"Juan de Dios Larraín,Rocío Jadue","Guillermo Calderón,Pablo Larraín",Netflix,Fabula,R (Sexual Content|Rape|Language|Some Graphic Nudity|Strong Violence and Gore),"Comedy,Horror",Spanish,"Sep 8, 2023, Limited","Sep 15, 2023",1h 50m,,El Conde,,,,
Shane Dax Taylor,"Ian Niles,Richard Switzer",Jesse Mittelstadt,Maverick Film / Complex Corp,"Complex Corp ,Maverick Films",,"War,History,Drama",English,"Jul 5, 2024, Limited","Jul 5, 2024",1h 26m,,Murder Company,,,,
Christopher Holt,Hattie Bridges Webb,Christopher Holt,Netflix,,,"Crime,Documentary,Horror",English,,"Oct 17, 2023",1h 21m,,The Devil on Trial,,,,
David K. Ginn,"David K. Ginn,Nathaniel Bobowski",David K. Ginn,,Cannibal Troll Film,,"Drama,Horror",English,,,13m,,Trauma,,,,
Michael Lembeck,"Fred Bernstein,Harrison Powell,Dominique Telson",Donald Martin,Gravitas Ventures,"Astute Films,Big Indie Pictures",PG-13 (Suggestive Material|Some Language|Drug Use),"Comedy,Drama,Romance",English,"Jun 11, 2021, Limited","Jun 11, 2021",1h 41m,,Queen Bees,$1.9M,,,
Geoffrey Sax,"Paul Brooks,Shawn Williamson",Niall Johnson,Universal Pictures,"White Noise UK Ltd.,Brightlight Pictures Inc.",PG-13 (Language|Disturbing Images|Violence),Mystery & Thriller,English,"Jan 7, 2005, Wide","Apr 19, 2016",1h 38m,"Surround,Dolby SRD,DTS,SDDS",White Noise,$55.9M,Scope (2.35:1),,
Kenneth Branagh,"Kenneth Branagh,Judy Hofflund","Conor McPherson,Hamish McColl",,"Marzano Films,Walt Disney Pictures,Tribeca Productions",PG (Some Rude Humor|Fantasy Action/Peril),"Fantasy,Adventure",English,,"Jul 8, 2020",1h 33m,,Artemis Fowl,,Scope (2.35:1),,
Shirish Kunder,Farah Khan,,,Netflix India,,"Mystery & Thriller,Crime,Drama",English,,"May 2, 2020",1h 46m,,Mrs. Serial Killer,,,,
Paul Crowder,"Glen Powell,Sean M. Stuart,Mark Monroe,Glen Zipper,J.J. Abrams,Hannah Minghella",,Amazon MGM Studios,"Dolphin Entertainment,Zipper Bros Films,IMAX,Bad Robot,Barnstormer Productions",G,Documentary,English,"May 17, 2024, Limited","May 23, 2024",1h 34m,,The Blue Angels,$2.5M,,,
Jason Ferrell,Andre Dos Santos,"Andre Dos Santos,Arlene Dos Santos,Jason Ferrell",,,,Drama,English,,"Aug 11, 2017",1h 38m,,The Call,,,,
Ante Novakovic,"Rob Simmons,DJ Dodd,Anthony Gaudioso,James Gaudioso,Ante Novakovic,Shawnee Smith","Anthony Gaudioso,James Gaudioso",Vertical,"Future Proof Films,Novakovic Bros.,Gaudioso Twins Films,JARS Media Group,Twelve 83 Entertainment,BondIt Media Capital",,"Horror,Mystery & Thriller",English,"Apr 26, 2024, Limited","Apr 26, 2024",1h 30m,,Bloodline Killer,,,,
Tim Hunter,Philip L. Parslow,,,,,Mystery & Thriller,English,,,1h 37m,,The Colony,,,,
Uwe Boll,Uwe Boll,Uwe Boll,Quiver Distribution,"Event Film Distribution,Hit and Run Productions",,"Crime,Drama",English,"Aug 30, 2024, Limited","Aug 30, 2024",1h 29m,,First Shift,,,,
McG,"McG,Zack Schiller,Mary Viola",Dan Lagana,,Boies/Shiller Films,,"Comedy,Horror",English,,"Sep 10, 2020",1h 41m,,The Babysitter: Killer Queen,,,,
George Clooney,"George Clooney,Grant Heslov,Ted Hope",William Monahan,Amazon Studios,"Big Indie Pictures,Smokehouse Pictures",R (Language Throughout|Some Sexual Content),"Comedy,Drama",English,"Dec 22, 2021, Wide","Jan 7, 2022",1h 46m,,The Tender Bar,,,,
James Bamford,Steven Paul,Steven Paul,Paramount Global Content Distribution,"SP Media Group,Republic Pictures",R (Violence Throughout|Language),"Action,Mystery & Thriller,Crime",English,"Feb 9, 2024, Limited","Feb 13, 2024",1h 30m,,Air Force One Down,,Scope (2.35:1),,
James Gray,"Anthony Katagas,Marc Butan,Rodrigo Teixeira,James Gray",James Gray,Focus Features,"MadRiver Pictures,RT Features,Keep Your Head",R (Some Drug Use Involving Minors|Language),Drama,English,"Nov 4, 2022, Wide","Dec 30, 2022",1h 54m,Dolby Digital,Armageddon Time,$1.8M,Digital 2.39:1,,
Castille Landon,"Mark Canton,Jennifer Gibgot,Aron Levitz,Brian Pitt,Courtney Solomon",Sharon Soboil,Voltage Pictures,"CalMaple,Wattpad",R (Language Throughout|Brief Drug Material|Some Sexual Content),"Romance,Drama",English,"Sep 7, 2022, Limited","Sep 23, 2022",1h 35m,,After Ever Happy,,Scope (2.35:1),,
Francis Lee,"Iain Canning,Fodhla Cronin O'Reilly,Emile Sherman",Francis Lee,NEON,"Cross City Films,See-Saw Films,BBC Films,British Film Institute,Stage 6 Films",R (Graphic Sexuality|Brief Language|Some Graphic Nudity),"Romance,Drama,LGBTQ+",English,"Nov 13, 2020, Limited","Dec 4, 2020",2h 0m,,Ammonite,$160.9K,Flat (1.85:1),,
Christophe Gans,"Samuel Hadida,Richard Grandpierre","Stéphane Cabel,Stéphane Cabel,Stéphane Cabel,Christophe Gans",Universal Pictures,"Davis-Films,Canal+,TF1 Films Production,Natexis Banques Populaires Images 3,Eskwad",R (Sexuality|Nudity|Strong Gore|Strong Violence),"Fantasy,Action,Horror",French (France),"Jan 25, 2002, Wide","Jul 27, 2021",2h 22m,"Dolby Stereo,Dolby Digital,Dolby A,Surround,DTS,Dolby SR",Brotherhood of the Wolf,$12.9K,Scope (2.35:1),,
Joshua Enck,Joshua Enck,"Joshua Enck,Jeff Bender",Fathom Events,Sight & Sound Films,,"Holiday,Drama",English,"Dec 1, 2022, Limited","Nov 14, 2023",1h 50m,,I Heard the Bells,,,,
Kim Gatewood,"David Bernon,Paul Bernon,Iliza Shlesinger,Sam Slater,Han West",Iliza Shlesinger,,"Meridian Content,Burn Later Productions,Universal Pictures",R (Nudity|Language Throughout|Brief Drug Use|Sexual References),"Romance,Comedy",English,,"Jun 23, 2021",1h 34m,,Good on Paper,,,,
Irene Taylor,"Stacy Lorts,Tom Mackay,Julie Begey Seureau,Irene Taylor",,Amazon MGM Studios,"Sony Music,Vermilion Films,Sony Music Entertainment",,"Documentary,Biography,Music",English,"Jun 21, 2024, Limited","Jun 25, 2024",1h 42m,,I Am: Celine Dion,$281.6K,,,
Peter MacDonald,,,,,,,,,,,,The Monkey King,,,,
Kei Ishikawa,,Kei Ishikawa,Prime Video,,,"Mystery & Thriller,Romance",Japanese,,"Sep 26, 2024",1h 58m,,Previously Saved Version,,,,
"Clyde Geronimi,Wilfred Jackson,Hamilton Luske",Walt Disney,"Ken Anderson,Homer Brightman,Winston Hibler,Bill Peet,Erdman Penner,Charles Perrault,Harry Reeves,Joe Rinaldi,Ted Sears","RKO Radio Pictures,Buena Vista Pictures",Walt Disney Pictures,G,"Kids & Family,Fantasy,Animation",English,"Feb 15, 1950, Original","May 21, 2017",1h 14m,"Surround,Stereo",Cinderella,$33.5M,,,
Sam Hobkinson,Sophie Clayton-Payne,,Netflix,Curious Films Ltd,,"Documentary,Crime",English,,"Feb 9, 2024",1h 30m,,"Lover, Stalker, Killer",,,,
"Daniel Ojari,Michael Please",Helen Argo,"Daniel Ojari,Michael Please",,Aardman Animations,G,"Kids & Family,Holiday,Comedy,Adventure,Animation,Musical",English,,"Nov 24, 2021",32m,Dolby Digital,Robin Robin,,,,
Hamid Torabpour,Steven Luke,Hamid Torabpour,Winter State Entertainment,,,"Horror,Action",English,"Oct 21, 2016, Limited","Sep 29, 2017",1h 28m,,Zombies 2,,,,
Raoul Girard,,,,,,"Horror,Romance",British English,,"Aug 23, 2019",1h 42m,,Bloodshot,,,,
Guy Jenkin,Jimmy Mulville,Guy Jenkin,,,,"Comedy,Drama",English,,,1h 30m,,Lord of Misrule,,,,
John Eyres,,,,,R,Sci-Fi,English,,,1h 36m,Surround,Monolith,,,,
John Huckert,"John Huckert,Mary Maruca","John Huckert,Mary Maruca",,,,Drama,English,,"Aug 30, 2020",1h 36m,,Passing,,,,
"Justin Benson,Aaron Moorhead","David Lawson Jr.,Aaron Moorhead,Justin Benson",Justin Benson,XYZ Films,Rustic Films,R (A Brief Violent Image|Language),"Sci-Fi,Comedy,Horror",English,"Nov 4, 2022, Limited","Nov 22, 2022",1h 56m,,Something In The Dirt,,,,
Camilo Vila,,"Philip Yordan,Fernando Fonseca,Henry Vargas",,,R,Horror,English,,"Jun 1, 2007",1h 40m,Surround,The Unholy,$5.5M,,,
Onur Bilgetay,"Cem Chaban,Onur Guvenatam",Deniz Madanoglu,Netflix,OGM Pictures,,"Drama,Romance",Turkish,,"Sep 26, 2024",1h 49m,,A True Gentleman,,,,
Jalal Merhi,"Jalal Merhi,Anthony Towstego",J. Stephen Maunder,,,,Action,English,,,1h 16m,,Crisis,,,,
Anders Thomas Jensen,"Sisse Graum Jørgensen,Sidsel Hybschmann",Anders Thomas Jensen,,"Nordisk Film- & TV-Fond,Sveriges Television,Zentropa International Sweden,Swedish Film Institute,Yousee,Yleisradio,Film i Väst,Nordisk Film Distribution,Zentropa Entertainment,Danish Film Institute,MEDIA Programme of the European Union,TV2 Danmark,FilmFyn",,"Action,Mystery & Thriller,Comedy",Danish,"May 14, 2021, Limited","May 21, 2021",1h 56m,,Riders of Justice,$77.0K,,,
Edward Bazalgette,"Mat Chaplin,Nigel Marchant,Gareh Neame","Bernard Cornwell,Martha Hillier",Netflix,Carnival Films & Television,,"Action,History,Drama",British English,,"Apr 14, 2023",2h 0m,,Seven Kings Must Die,,,,
"Ahmir ""Questlove"" Thompson","David Dinerstein,Robert Fyvolent,Joseph Patel",,Searchlight Pictures,"Two One Five Entertainment,Play/Action Pictures,Concordia Studio,Mass Distraction Media,Vulcan Productions,LarryBilly Productions,RadicalMedia",PG-13 (Smoking|Brief Drug Material|Some Disturbing Images),"Documentary,Music",English,"Jul 2, 2021, Wide","Jul 2, 2021",1h 57m,"Dolby Digital,Stereo","Summer of Soul (...Or, When the Revolution Could Not Be Televised)",$2.3M,,,
Todd Robinson,"Julian Adams,Michael Bassick,Timothy Scott Bogart,Nicholas Cafritz,Adi Cohen,Mark Damon,Pen Densham,Robert Reed Peterson,Jordi Rediu,Shaun Sanghani,Lauren Selig,John Watson",Todd Robinson,Roadside Attractions,"SSS Entertainment,Foresight Unlimited,Provocator,Lightbox Pictures",R (War Violence|Language),"War,Drama",English,"Jan 24, 2020, Wide","Apr 7, 2020",1h 56m,,The Last Full Measure,$2.9M,Scope (2.35:1),,
